Date,Item Name,Buy,Sell,Amount
4/10/2018,Limpwurt Roots,2203,2223,530
4/10/2018,Limpwurt Roots,2215,2270,489
4/10/2018,Rune Helmet,10400,11200,99
4/10/2018,Rune Full Helmet,20000,20650,99
4/10/2018,Raw Swordfish,536,541,4571
4/10/2018,Raw Swordfish,536,540,9809
4/10/2018,Death Runes,153,155,24999
4/11/2018,Raw Swordfish,503,513,8713
4/11/2018,Death Runes,149,152,24999
4/11/2018,Blue Dragonhide Body,4870,5045,4298
4/11/2018,Rune Helmet,10375,10450,41
4/11/2018,Cosmic Runes,347,354,24003
4/11/2018,Rune Helmet,10375,11250,58
4/11/2018,Runite Ore,11665,11705,5530
4/12/2018,Runite Ore,11705,11733,5558
4/12/2018,Death Runes,147,151,19688
4/12/2018,Limpwurt Roots,1060,1095,5172
4/12/2018,Runite Ore,11653,11672,6724
4/12/2018,Blue Dragonhide Body,4870,5045,4274
4/12/2018,Nature Runes,436,438,24999
4/12/2018,Rune Helmet,10510,10760,99
4/12/2018,Rune Full Helmet,19890,20250,99
4/13/2018,Mithril Ore,392,399,24999
4/13/2018,Law Runes,326,329,24999
4/13/2018,Red Dragonhide,3015,3095,9999
4/13/2018,Off-Hand Rune Longsword,18000,18650,99
4/14/2018,Runite Ore,11705,11722,7159
4/14/2018,Blue Dragonhide Body,4970,5160,4808
4/14/2018,Black Dragonhide,3683,3697,9999
4/15/2018,Mithril Ore,417,419,24999
4/15/2018,Runite Ore,11686,11699,4888
4/15/2018,Amulet of Power,3660,3790,124
4/15/2018,Blue Dragonhide Body,5025,5200,472
4/15/2018,Rune Helmet,10275,10753,99
4/15/2018,Raw Swordfish,501,510,19999
4/16/2018,Runite Limbs,8875,9310,517
4/16/2018,Rune Helmet,10250,10740,99
4/16/2018,Blue Dragonhide Body,5025,5150,4527
4/16/2018,Cosmic Runes,392,397,24999
4/16/2018,Runite Ore,11592,11630,5612
4/16/2018,Runite Ore,11592,11630,5631
4/17/2018,Runite Ore,11656,11668,5929
4/17/2018,Rune Helmet,10340,10730,99
4/17/2018,Runite Limbs,8875,9000,1435
4/17/2018,Cosmic Runes,390,398,24999
4/17/2018,Water Talisman,6846,6990,499
4/17/2018,Runite Ore,11625,11662,5678
4/17/2018,Runite Limbs,8875,8899,3047
4/17/2018,Runite Ore,11625,11671,7546
4/18/2018,Black Dragonhide,3570,3605,321
4/18/2018,Gold Ore,181,188,24999
4/18/2018,Runite Ore,11635,11664,6358
4/18/2018,Mithril Bar,1650,1660,9999
4/18/2018,Death Runes,145,149,24999
4/18/2018,Rune Helmet,10241,10320,99
4/18/2018,Uncut Ruby,1731,1758,1999
4/18/2018,Green Dragonhide Body,3955,3994,3446
4/18/2018,Runite Ore,11638,11666,7065
4/18/2018,Cosmic Runes,383,387,24999
4/19/2018,Runite Ore,11590,11630,5025
4/19/2018,Limpwurt Roots,2010,2015,278
4/19/2018,Rune Helmet,10320,10480,99
4/19/2018,Gold Ore,188,196,24999
4/19/2018,Rune Scimitar,14550,14880,99
4/19/2018,Red Dragonhide,3135,3267,312
4/20/2018,Marigolds,8456,8690,339
4/20/2018,Runite Ore,11580,11628,6096
4/21/2018,Red Dragonhide,3135,3142,8516
4/21/2018,Cosmic Runes,384,393,23719
4/21/2018,Blue Dragonhide Body,4910,5048,2770
4/21/2018,Water Talisman,6715,6990,499
4/21/2018,Rune Arrowheads,241,264,9999
4/22/2018,Chaos Runes,102,105,24999
4/22/2018,Uncut Emerald,1840,1874,1000
4/22/2018,Runite Ore,11524,11560,8518
4/22/2018,Water Talisman,6710,6989,499
4/22/2018,Amulet of Power,4011,4189,52
4/22/2018,Cosmic Runes,387,395,24999
4/22/2018,Gold Ore,181,185,24999
4/22/2018,Water Talisman,6671,6789,499
4/22/2018,Death Runes,143,148,24999
4/22/2018,Uncut Diamond,3472,3580,999
4/22/2018,Big Bones,152,168,999
4/22/2018,Uncut Emerald,1807,1878,999
4/23/2018,Runite Ore,11528,11522,8793
4/23/2018,Water Talisman,6511,6689,499
4/23/2018,Gold Ore,178,183,18470
4/23/2018,Cosmic Runes,394,399,24999
4/23/2018,Uncut Emerald,1841,2015,387
4/23/2018,Uncut Emerald,1841,1898,612
4/24/2018,Uncut Diamond,3510,3579,999
4/24/2018,Runite Ore,11427,11448,421
4/24/2018,Rune Bar,13896,13954,3000
4/24/2018,Mithril Bar,1602,1641,9999
4/24/2018,Cosmic Runes,387,392,24999
4/25/2018,Uncut Diamond,3514,3593,999
4/25/2018,Water Talisman,6714,6793,499
4/25/2018,Rune Bar,13855,13874,2391
4/25/2018,Cosmic Runes,388,391,24999
4/25/2018,Red Dragonhide,2923,3053,722
4/25/2018,Gold Bar,485,492,9999
4/25/2018,Uncut Ruby,1687,1731,999
4/25/2018,Mahogany Logs,765,779,999
4/25/2018,Uncut Diamond,3341,3479,999
4/26/2018,Runite Limbs,8777,8819,2183
4/26/2018,Plank,638,645,9546
4/26/2018,Runite Ore,11505,11545,3760
4/26/2018,Uncut Emerald,1662,1733,113
4/26/2018,Runite Ore,11456,11519,4875
4/26/2018,Gold Ore,185,190,24999
4/26/2018,Water Talisman,6756,6985,499
4/26/2018,Cosmic Runes,385,388,24999
4/26/2018,Red Dragonhide,3025,3080,1925
4/27/2018,Blue Dragonhide,2806,2846,9999
4/27/2018,Blue Dragonhide Body,4925,4983,4999
4/28/2018,Water Talisman,6791,6989,499
4/28/2018,Rune Bar,13807,13857,3973
4/28/2018,Cosmic Runes,380,385,24999
4/28/2018,Runite Limbs,8827,8935,66
4/28/2018,Marigolds,7056,7989,183
4/29/2018,Water Talisman,6807,7089,499
4/30/2018,Runite Limbs,8827,8929,4935
4/30/2018,Blue Dragonhide,2726,2805,402
4/30/2018,Uncut Diamond,3254,3376,892
4/30/2018,Blue Dragonhide,2726,2758,1497
4/30/2018,Runite Ore,11610,11619,4936
4/30/2018,Cosmic Runes,412,422,24999
